feature_set,feature,importance
ablate_top__additional_out_of_bailiwick_count,answer_matches_query_count,0.0005105881962166653
ablate_top__additional_out_of_bailiwick_count,dns_count_auth_rr,8.278449629042584e-05
ablate_top__additional_out_of_bailiwick_count,authority_SOA_count,7.566613494141838e-05
ablate_top__additional_out_of_bailiwick_count,authority_record_count,4.5987266690983884e-05
ablate_top__additional_out_of_bailiwick_count,has_answer,4.173958762655169e-05
ablate_top__additional_out_of_bailiwick_count,has_authority,1.9793292059920544e-05
ablate_top__additional_out_of_bailiwick_count,dns_flags_rcode,1.1678073337783897e-05
ablate_top__additional_out_of_bailiwick_count,ip_ttl,2.068026789680143e-06
ablate_top__additional_out_of_bailiwick_count,ip_proto,0.0
ablate_top__additional_out_of_bailiwick_count,tcp_len,0.0
ablate_top__additional_out_of_bailiwick_count,dst_port,0.0
ablate_top__additional_out_of_bailiwick_count,dns_flags_authoritative,0.0
ablate_top__additional_out_of_bailiwick_count,dns_flags_truncated,0.0
ablate_top__additional_out_of_bailiwick_count,dns_flags_recdesired,0.0
ablate_top__additional_out_of_bailiwick_count,dns_flags_recavail,0.0
ablate_top__additional_out_of_bailiwick_count,dns_count_queries,0.0
ablate_top__additional_out_of_bailiwick_count,answer_NS_count,0.0
ablate_top__additional_out_of_bailiwick_count,authority_NS_count,0.0
ablate_top__additional_out_of_bailiwick_count,additional_NS_count,0.0
ablate_top__additional_out_of_bailiwick_count,additional_CNAME_count,0.0
ablate_top__additional_out_of_bailiwick_count,has_additional,0.0
ablate_top__additional_out_of_bailiwick_count,has_authority_NS,0.0
ablate_top__answer_A_count,additional_A_count,0.20661880871070143
ablate_top__answer_A_count,has_additional_A,0.19355094988532717
ablate_top__answer_A_count,additional_out_of_bailiwick_count,0.14365096622444679
ablate_top__answer_A_count,unique_record_name_count,0.1331252439641881
ablate_top__answer_A_count,frame_len,0.08491950478400581
ablate_top__answer_A_count,dns_id,0.05443315883342973
ablate_top__answer_A_count,record_total,0.04556665503773386
ablate_top__answer_A_count,ttl_std,0.03518348568921837
ablate_top__answer_A_count,dns_count_add_rr,0.024672559993230824
ablate_top__answer_A_count,additional_AAAA_count,0.019733099068818035
ablate_top__answer_A_count,additional_record_count,0.016808060673465804
ablate_top__answer_A_count,answer_record_count,0.013013242845852622
ablate_top__answer_A_count,dns_count_answers,0.01296537760451325
ablate_top__answer_A_count,answer_AAAA_count,0.008611396837313661
ablate_top__answer_A_count,answer_CNAME_count,0.006636721573534942
ablate_top__answer_A_count,answer_matches_query_count,0.0001902502510231222
ablate_top__answer_A_count,has_answer,0.00010241320791577947
ablate_top__answer_A_count,has_authority,6.023906658548851e-05
ablate_top__answer_A_count,authority_SOA_count,5.49690809490407e-05
ablate_top__answer_A_count,authority_record_count,5.293279982695211e-05
ablate_top__answer_A_count,dns_count_auth_rr,3.5440855211832185e-05
ablate_top__answer_A_count,dns_flags_rcode,1.3423939472170877e-05
ablate_top__answer_A_count,ip_ttl,1.0990732352712612e-06
ablate_top__answer_A_count,ip_proto,0.0
ablate_top__answer_A_count,tcp_len,0.0
ablate_top__answer_A_count,dst_port,0.0
ablate_top__answer_A_count,dns_flags_authoritative,0.0
ablate_top__answer_A_count,dns_flags_truncated,0.0
ablate_top__answer_A_count,dns_flags_recdesired,0.0
ablate_top__answer_A_count,dns_flags_recavail,0.0
ablate_top__answer_A_count,dns_count_queries,0.0
ablate_top__answer_A_count,answer_NS_count,0.0
ablate_top__answer_A_count,authority_NS_count,0.0
ablate_top__answer_A_count,additional_NS_count,0.0
ablate_top__answer_A_count,additional_CNAME_count,0.0
ablate_top__answer_A_count,has_additional,0.0
ablate_top__answer_A_count,has_authority_NS,0.0
ablate_top__answer_record_count,additional_A_count,0.21614280363176186
ablate_top__answer_record_count,has_additional_A,0.18360742035184127
ablate_top__answer_record_count,unique_record_name_count,0.14069665006344897
ablate_top__answer_record_count,additional_out_of_bailiwick_count,0.13551241914112194
ablate_top__answer_record_count,frame_len,0.07635616854121004
ablate_top__answer_record_count,dns_id,0.05466151686841998
ablate_top__answer_record_count,answer_A_count,0.040135135225364736
ablate_top__answer_record_count,record_total,0.03401468604093251
ablate_top__answer_record_count,ttl_std,0.03118756693316551
ablate_top__answer_record_count,dns_count_add_rr,0.022600159958945615
ablate_top__answer_record_count,additional_AAAA_count,0.019415309575067236
ablate_top__answer_record_count,dns_count_answers,0.016067929224105167
ablate_top__answer_record_count,additional_record_count,0.012475166778657183
ablate_top__answer_record_count,answer_CNAME_count,0.008408437944407078
ablate_top__answer_record_count,answer_AAAA_count,0.007732554711684262
ablate_top__answer_record_count,answer_matches_query_count,0.0007324626514612553
ablate_top__answer_record_count,has_authority,6.0039224727536065e-05
ablate_top__answer_record_count,authority_record_count,5.750911002833259e-05
ablate_top__answer_record_count,authority_SOA_count,5.1424981587715645e-05
ablate_top__answer_record_count,dns_count_auth_rr,4.673545095407683e-05
ablate_top__answer_record_count,has_answer,3.709947529515212e-05
ablate_top__answer_record_count,ip_ttl,6.912485031054102e-07
ablate_top__answer_record_count,dns_flags_rcode,1.1286730951861244e-07
ablate_top__answer_record_count,ip_proto,0.0
ablate_top__answer_record_count,tcp_len,0.0
ablate_top__answer_record_count,dst_port,0.0
ablate_top__answer_record_count,dns_flags_authoritative,0.0
ablate_top__answer_record_count,dns_flags_truncated,0.0
ablate_top__answer_record_count,dns_flags_recdesired,0.0
ablate_top__answer_record_count,dns_flags_recavail,0.0
ablate_top__answer_record_count,dns_count_queries,0.0
ablate_top__answer_record_count,answer_NS_count,0.0
ablate_top__answer_record_count,authority_NS_count,0.0
ablate_top__answer_record_count,additional_NS_count,0.0
ablate_top__answer_record_count,additional_CNAME_count,0.0
ablate_top__answer_record_count,has_additional,0.0
ablate_top__answer_record_count,has_authority_NS,0.0
ablate_top__dns_count_add_rr,additional_A_count,0.20204174325599225
ablate_top__dns_count_add_rr,has_additional_A,0.19093327835759136
ablate_top__dns_count_add_rr,unique_record_name_count,0.1435908856594722
ablate_top__dns_count_add_rr,additional_out_of_bailiwick_count,0.133480170792417
ablate_top__dns_count_add_rr,frame_len,0.07690500366345102
ablate_top__dns_count_add_rr,dns_id,0.06008216799575841
ablate_top__dns_count_add_rr,answer_A_count,0.045605986786816766
ablate_top__dns_count_add_rr,record_total,0.03633218836058042
ablate_top__dns_count_add_rr,ttl_std,0.0335235779551015
ablate_top__dns_count_add_rr,additional_AAAA_count,0.022253694719571858
ablate_top__dns_count_add_rr,additional_record_count,0.01736605593211402
ablate_top__dns_count_add_rr,dns_count_answers,0.01564031758825545
ablate_top__dns_count_add_rr,answer_record_count,0.008569918614187903
ablate_top__dns_count_add_rr,answer_AAAA_count,0.006676529890857644
ablate_top__dns_count_add_rr,answer_CNAME_count,0.006032364814192519
ablate_top__dns_count_add_rr,answer_matches_query_count,0.0007467239349596426
ablate_top__dns_count_add_rr,authority_SOA_count,5.051529748793566e-05
ablate_top__dns_count_add_rr,dns_count_auth_rr,4.512686593864055e-05
ablate_top__dns_count_add_rr,authority_record_count,4.453154387427423e-05
ablate_top__dns_count_add_rr,has_authority,4.297640155094186e-05
ablate_top__dns_count_add_rr,has_answer,3.457574045979395e-05
ablate_top__dns_count_add_rr,ip_ttl,9.601596062228365e-07
ablate_top__dns_count_add_rr,dns_flags_rcode,7.056697622389751e-07
ablate_top__dns_count_add_rr,ip_proto,0.0
ablate_top__dns_count_add_rr,tcp_len,0.0
ablate_top__dns_count_add_rr,dst_port,0.0
ablate_top__dns_count_add_rr,dns_flags_authoritative,0.0
ablate_top__dns_count_add_rr,dns_flags_truncated,0.0
ablate_top__dns_count_add_rr,dns_flags_recdesired,0.0
ablate_top__dns_count_add_rr,dns_flags_recavail,0.0
ablate_top__dns_count_add_rr,dns_count_queries,0.0
ablate_top__dns_count_add_rr,answer_NS_count,0.0
ablate_top__dns_count_add_rr,authority_NS_count,0.0
ablate_top__dns_count_add_rr,additional_NS_count,0.0
ablate_top__dns_count_add_rr,additional_CNAME_count,0.0
ablate_top__dns_count_add_rr,has_additional,0.0
ablate_top__dns_count_add_rr,has_authority_NS,0.0
ablate_top__dns_count_answers,additional_A_count,0.20745927369662778
ablate_top__dns_count_answers,has_additional_A,0.19801649514138736
ablate_top__dns_count_answers,additional_out_of_bailiwick_count,0.13730967437742658
ablate_top__dns_count_answers,unique_record_name_count,0.1299358242947661
ablate_top__dns_count_answers,frame_len,0.07707531729705841
ablate_top__dns_count_answers,dns_id,0.05925462851714984
ablate_top__dns_count_answers,answer_A_count,0.040371523870264374
ablate_top__dns_count_answers,record_total,0.036926544768693476
ablate_top__dns_count_answers,ttl_std,0.03361491042055057
ablate_top__dns_count_answers,additional_AAAA_count,0.021294077005139227
ablate_top__dns_count_answers,dns_count_add_rr,0.019993096003039987
ablate_top__dns_count_answers,answer_record_count,0.012260090590044516
ablate_top__dns_count_answers,additional_record_count,0.011927867470525811
ablate_top__dns_count_answers,answer_CNAME_count,0.007069551402321508
ablate_top__dns_count_answers,answer_AAAA_count,0.006200396903716206
ablate_top__dns_count_answers,answer_matches_query_count,0.0010297977239179632
ablate_top__dns_count_answers,authority_record_count,6.373092049042637e-05
ablate_top__dns_count_answers,has_authority,6.184512975665091e-05
ablate_top__dns_count_answers,authority_SOA_count,5.926946662135447e-05
ablate_top__dns_count_answers,has_answer,4.829283933332452e-05
ablate_top__dns_count_answers,dns_count_auth_rr,2.6250740691237505e-05
ablate_top__dns_count_answers,ip_ttl,8.357507151097503e-07
ablate_top__dns_count_answers,dns_flags_rcode,7.0566976233062e-07
ablate_top__dns_count_answers,ip_proto,0.0
ablate_top__dns_count_answers,tcp_len,0.0
ablate_top__dns_count_answers,dst_port,0.0
ablate_top__dns_count_answers,dns_flags_authoritative,0.0
ablate_top__dns_count_answers,dns_flags_truncated,0.0
ablate_top__dns_count_answers,dns_flags_recdesired,0.0
ablate_top__dns_count_answers,dns_flags_recavail,0.0
ablate_top__dns_count_answers,dns_count_queries,0.0
ablate_top__dns_count_answers,answer_NS_count,0.0
ablate_top__dns_count_answers,authority_NS_count,0.0
ablate_top__dns_count_answers,additional_NS_count,0.0
ablate_top__dns_count_answers,additional_CNAME_count,0.0
ablate_top__dns_count_answers,has_additional,0.0
ablate_top__dns_count_answers,has_authority_NS,0.0
ablate_top__has_additional_A,additional_A_count,0.27549601450643607
ablate_top__has_additional_A,unique_record_name_count,0.18101278741137997
ablate_top__has_additional_A,additional_out_of_bailiwick_count,0.1644948677302829
ablate_top__has_additional_A,frame_len,0.12216866094971979
ablate_top__has_additional_A,dns_id,0.061900278713896945
ablate_top__has_additional_A,record_total,0.040728282798662106
ablate_top__has_additional_A,ttl_std,0.03604658110976373
ablate_top__has_additional_A,answer_A_count,0.03421800991432113
ablate_top__has_additional_A,additional_AAAA_count,0.016324156385487777
ablate_top__has_additional_A,dns_count_add_rr,0.013801366125754394
ablate_top__has_additional_A,answer_record_count,0.01295201393936185
ablate_top__has_additional_A,answer_CNAME_count,0.011727900333779651
ablate_top__has_additional_A,additional_record_count,0.01140113307168198
ablate_top__has_additional_A,dns_count_answers,0.010482465076212961
ablate_top__has_additional_A,answer_AAAA_count,0.006390044482792979
ablate_top__has_additional_A,answer_matches_query_count,0.0004614344864420498
ablate_top__has_additional_A,dns_count_auth_rr,0.00012729162277315257
ablate_top__has_additional_A,authority_SOA_count,0.00010619419371532569
ablate_top__has_additional_A,has_authority,5.448089432471176e-05
ablate_top__has_additional_A,authority_record_count,4.578813654039025e-05
ablate_top__has_additional_A,has_answer,4.236460828369243e-05
ablate_top__has_additional_A,dns_flags_rcode,1.5592160456049244e-05
ablate_top__has_additional_A,ip_ttl,2.291347930420298e-06
ablate_top__has_additional_A,ip_proto,0.0
ablate_top__has_additional_A,tcp_len,0.0
ablate_top__has_additional_A,dst_port,0.0
ablate_top__has_additional_A,dns_flags_authoritative,0.0
ablate_top__has_additional_A,dns_flags_truncated,0.0
ablate_top__has_additional_A,dns_flags_recdesired,0.0
ablate_top__has_additional_A,dns_flags_recavail,0.0
ablate_top__has_additional_A,dns_count_queries,0.0
ablate_top__has_additional_A,answer_NS_count,0.0
ablate_top__has_additional_A,authority_NS_count,0.0
ablate_top__has_additional_A,additional_NS_count,0.0
ablate_top__has_additional_A,additional_CNAME_count,0.0
ablate_top__has_additional_A,has_additional,0.0
ablate_top__has_additional_A,has_authority_NS,0.0
ablate_top__record_total,additional_A_count,0.2165401631310874
ablate_top__record_total,has_additional_A,0.1817097667670353
ablate_top__record_total,additional_out_of_bailiwick_count,0.1439060777918313
ablate_top__record_total,unique_record_name_count,0.13933330361918403
ablate_top__record_total,frame_len,0.07437797426313428
ablate_top__record_total,dns_id,0.05602543328366915
ablate_top__record_total,answer_A_count,0.04442988465256183
ablate_top__record_total,ttl_std,0.03679557273037897
ablate_top__record_total,dns_count_add_rr,0.024427900220233233
ablate_top__record_total,additional_AAAA_count,0.023623515769220768
ablate_top__record_total,dns_count_answers,0.016642996131724673
ablate_top__record_total,additional_record_count,0.015697452782892987
ablate_top__record_total,answer_record_count,0.009549074682342283
ablate_top__record_total,answer_CNAME_count,0.00835453489678817
ablate_top__record_total,answer_AAAA_count,0.007398865603611792
ablate_top__record_total,answer_matches_query_count,0.0009686936802955694
ablate_top__record_total,authority_SOA_count,5.0515297487935897e-05
ablate_top__record_total,dns_count_auth_rr,4.512686593865166e-05
ablate_top__record_total,authority_record_count,4.487015108237071e-05
ablate_top__record_total,has_authority,4.2976417486731454e-05
ablate_top__record_total,has_answer,3.430479494669218e-05
ablate_top__record_total,ip_ttl,8.835997580390363e-07
ablate_top__record_total,dns_flags_rcode,1.1286730781529784e-07
ablate_top__record_total,ip_proto,0.0
ablate_top__record_total,tcp_len,0.0
ablate_top__record_total,dst_port,0.0
ablate_top__record_total,dns_flags_authoritative,0.0
ablate_top__record_total,dns_flags_truncated,0.0
ablate_top__record_total,dns_flags_recdesired,0.0
ablate_top__record_total,dns_flags_recavail,0.0
ablate_top__record_total,dns_count_queries,0.0
ablate_top__record_total,answer_NS_count,0.0
ablate_top__record_total,authority_NS_count,0.0
ablate_top__record_total,additional_NS_count,0.0
ablate_top__record_total,additional_CNAME_count,0.0
ablate_top__record_total,has_additional,0.0
ablate_top__record_total,has_authority_NS,0.0
ablate_top__unique_record_name_count,additional_A_count,0.27298647924254493
ablate_top__unique_record_name_count,has_additional_A,0.25693279291429855
ablate_top__unique_record_name_count,additional_out_of_bailiwick_count,0.15217939301139816
ablate_top__unique_record_name_count,frame_len,0.09677803485920564
ablate_top__unique_record_name_count,dns_id,0.04930662124985345
ablate_top__unique_record_name_count,answer_A_count,0.042523293518620366
ablate_top__unique_record_name_count,record_total,0.028596197128161315
ablate_top__unique_record_name_count,additional_AAAA_count,0.02291982583664172
ablate_top__unique_record_name_count,ttl_std,0.021795270239110903
ablate_top__unique_record_name_count,additional_record_count,0.014087855985442923
ablate_top__unique_record_name_count,dns_count_add_rr,0.012665518434021035
ablate_top__unique_record_name_count,answer_record_count,0.011570574829682179
ablate_top__unique_record_name_count,dns_count_answers,0.006348405773257576
ablate_top__unique_record_name_count,answer_AAAA_count,0.00608766029771097
ablate_top__unique_record_name_count,answer_CNAME_count,0.004114245096327169
ablate_top__unique_record_name_count,answer_matches_query_count,0.0008492121602310787
ablate_top__unique_record_name_count,authority_SOA_count,8.3527967285739e-05
ablate_top__unique_record_name_count,dns_count_auth_rr,6.345150465743353e-05
ablate_top__unique_record_name_count,authority_record_count,3.946812096374346e-05
